player_id,season,gameweek,minutes,total_points,goals_scored,assists,clean_sheets,goals_conceded,saves,yellow_cards,red_cards,now_cost,form,status,chance_of_playing_next_round,own_goals,penalties_saved,penalties_missed,bonus,bps,influence,creativity,threat,ict_index,selected_by_percent,transfers_in,transfers_out,first_name,second_name,web_name,element_type,team_id,code,name,short_name,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away,points_last_gw,points_last_3_gws
6,2024/25,14,0,0,0,0,0,0,0,0,0,60,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,1.0
6,2024/25,15,0,0,0,0,0,0,0,0,0,60,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.6666666666666666
6,2024/25,16,0,0,0,0,0,0,0,0,0,60,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,10.3,824,2534,William,Saliba,Saliba,2,1,462424,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,0.0
7,2024/25,4,67,5,0,0,1,0,0,1,0,57,,,,0,0,0,0,16,5.4,12.6,2.0,2.0,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,9.333333333333334
7,2024/25,5,90,2,0,0,0,1,0,0,0,57,,,,0,0,0,0,7,3.6,6.2,19.0,2.9,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,5.0,6.666666666666667
7,2024/25,6,69,1,0,0,0,1,0,1,0,57,,,,0,0,0,0,0,3.6,16.8,10.0,3.0,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,3.0
7,2024/25,7,74,6,0,0,1,0,0,0,0,57,,,,0,0,0,0,26,8.8,5.4,19.0,3.3,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,2.6666666666666665
7,2024/25,8,90,6,0,0,1,0,0,0,0,57,,,,0,0,0,0,26,12.6,8.0,9.0,3.0,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,3.0
7,2024/25,9,81,6,0,0,1,0,0,0,0,57,,,,0,0,0,0,26,4.6,3.8,2.0,1.0,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,4.333333333333333
7,2024/25,10,71,6,0,0,1,0,0,0,0,57,,,,0,0,0,0,33,16.0,3.3,17.0,3.6,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,6.0
7,2024/25,11,90,1,0,0,0,2,0,0,0,57,,,,0,0,0,0,-1,11.4,7.8,35.0,5.4,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,6.0
7,2024/25,12,90,2,0,0,0,1,0,0,0,57,,,,0,0,0,0,9,9.6,2.3,6.0,1.8,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,4.333333333333333
7,2024/25,13,45,0,0,0,0,0,0,1,0,57,,,,0,0,0,0,5,15.0,1.2,0.0,1.6,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,3.0
7,2024/25,14,90,7,0,0,1,0,0,0,0,57,,,,0,0,0,1,33,24.8,4.4,26.0,5.5,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,0.0,1.0
7,2024/25,15,85,1,0,0,0,1,0,1,0,57,,,,0,0,0,0,2,6.6,3.1,6.0,1.6,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,7.0,3.0
7,2024/25,16,0,0,0,0,0,0,0,0,0,57,,,,0,0,0,0,0,0.0,0.0,0.0,0.0,9.8,443,8598,Riccardo,Calafiori,Calafiori,2,1,466075,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,2.6666666666666665
8,2024/25,4,90,8,0,0,1,0,0,0,0,65,,,,0,0,0,2,37,19.8,13.0,35.0,6.8,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,8.666666666666666
8,2024/25,5,79,1,0,0,0,1,0,1,0,65,,,,0,0,0,0,16,17.0,13.9,8.0,3.9,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,8.0,11.333333333333334
8,2024/25,6,90,2,0,0,0,1,0,0,0,65,,,,0,0,0,0,10,24.6,38.2,25.0,8.8,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,3.6666666666666665
8,2024/25,7,90,11,0,1,1,0,0,0,0,65,,,,0,0,0,2,43,20.2,16.8,29.0,6.6,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,2.0,3.6666666666666665
8,2024/25,8,90,6,0,0,1,0,0,0,0,65,,,,0,0,0,0,27,16.8,31.8,6.0,5.5,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,11.0,4.666666666666667
8,2024/25,9,90,6,0,0,1,0,0,0,0,65,,,,0,0,0,0,25,11.8,16.7,2.0,3.1,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,6.333333333333333
8,2024/25,10,90,6,0,0,1,0,0,0,0,65,,,,0,0,0,0,20,5.4,1.2,17.0,2.4,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,7.666666666666667
8,2024/25,11,90,1,0,0,0,2,0,0,0,65,,,,0,0,0,0,7,13.0,6.3,8.0,2.7,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,6.0,6.0
8,2024/25,12,90,5,0,1,0,1,0,0,0,65,,,,0,0,0,0,6,15.0,14.8,20.0,5.0,33.2,2089,15371,Jurriën,Timber,J.Timber,2,1,445122,Arsenal,ARS,1300,1375,1340,1400,1260,1350,1.0,4.333333333333333
